tof_0,tof_1,accelx,accely,accelz,gyrox,gyroy,gyroz,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005787334837855,0.0,3.112497568130493,-1.2152695655822754,-0.0,2.177908182144165,3.798821135158203,0.0,0.26352477073669434,-1.254822079335348,0.0,-0.03460344672203064,0.34169089794158936,0.0,-0.015526512637734413,1.147594690322876,0.0,-0.020915715023875237
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005339107909144,0.0,3.1710596084594727,-1.2153137922286987,-0.0,2.205115556716919,3.7988411623188476,0.0,0.26274374127388,-1.2547901312457483,0.0,-0.025677476078271866,0.3417511582374573,0.0,-0.008295218460261822,1.147578477859497,0.0,0.04722879081964493
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005544147887171,0.0,3.12703013420105,-1.2152416706085205,-0.0,2.1907663345336914,3.798793001765869,0.0,0.2655901312828064,-1.2547815481769007,0.0,-0.03786079213023186,0.3417913019657135,0.0,-0.010409142822027206,1.147602915763855,0.0,-0.018435925245285034
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.800570627252096,0.0,3.123142719268799,-1.2153217792510986,-0.0,2.1430797576904297,3.7987848955341796,0.0,0.24981649219989777,-1.2547696272479456,0.0,-0.02594606578350067,0.3416990637779236,0.0,-0.015617113560438156,1.1475987434387207,0.0,0.01176932267844677
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005510769286097,0.0,3.151651620864868,-1.2152457237243652,-0.0,2.1512250900268555,3.7987968164631347,0.0,0.2625536620616913,-1.2547815481769007,0.0,-0.025875020772218704,0.341755211353302,0.0,-0.019269198179244995,1.1476187705993652,0.0,0.013984923250973225
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005506000914515,0.0,3.103425979614258,-1.2152695655822754,-0.0,2.1563632488250732,3.7987729746052246,0.0,0.2588094472885132,-1.254793945943014,0.0,-0.027954760938882828,0.34167084097862244,0.0,-0.013666561804711819,1.1476106643676758,0.0,0.016757717356085777
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005825481810511,0.0,3.136739730834961,-1.2152775526046753,-0.0,2.1697804927825928,3.798793001765869,0.0,0.26686298847198486,-1.25476581255068,0.0,-0.040352605283260345,0.34179168939590454,0.0,-0.01679331436753273,1.1476225852966309,0.0,-0.0011929473839700222
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005906544127406,0.0,3.1533827781677246,-1.2152695655822754,-0.0,2.2086758613586426,3.7988011079975585,0.0,0.2643068730831146,-1.2547858397113245,0.0,-0.03936575725674629,0.3417351543903351,0.0,-0.002111853798851371,1.1475987434387207,0.0,-0.05524807423353195
147.0,154.0,6.4487,1.5811,6.3595,-0.024,0.0205,-0.1173,-1.8005825481810511,0.0,3.1519088745117188,-1.2152377367019653,-0.0,2.1502649784088135,3.798849268550537,0.0,0.2669220268726349,-1.254753891621725,0.0,-0.025625593960285187,0.3417392075061798,0.0,0.002131330780684948,1.1476348638534546,0.0,-0.01767708919942379
151.0,156.0,6.408,1.5727,6.5635,-0.0289,0.0218,-0.1179,-1.8005949459471644,0.0,3.1542539596557617,-1.2152814865112305,-0.0,2.1715030670166016,3.798781080836914,0.0,0.26087677478790283,-1.2547615210162562,0.0,-0.024755287915468216,0.3416469395160675,0.0,-0.0071167973801493645,1.147594690322876,0.0,0.030050858855247498
151.0,156.0,6.408,1.5727,6.5635,-0.0289,0.0218,-0.1179,-1.8005348644652308,0.0,3.1540839672088623,-1.2152814865112305,-0.0,2.158066749572754,3.798833056087158,0.0,0.2565552592277527,-1.2547820250140589,0.0,-0.027662359178066254,0.3416990637779236,0.0,-0.011108646169304848,1.147594690322876,0.0,0.011149510741233826
151.0,156.0,6.408,1.5727,6.5635,-0.0289,0.0218,-0.1179,-1.800570627252096,0.0,3.144437789916992,-1.2152734994888306,-0.0,2.1815781593322754,3.7987891870686035,0.0,0.26742053031921387,-1.2547901312457483,0.0,-0.030220314860343933,0.3417392373085022,0.0,0.003616815898567438,1.147606611251831,0.0,-0.023006245493888855
151.0,156.0,6.408,1.5727,6.5635,-0.0289,0.0218,-0.1179,-1.800586839715475,0.0,3.187880754470825,-1.2152934074401855,-0.0,2.1458311080932617,3.7987772661396484,0.0,0.2585524320602417,-1.2548177878009241,0.0,-0.0471498928964138,0.3416786789894104,0.0,-0.0058386726304888725,1.1475824117660522,0.0,0.0021238536573946476
