tof_0,tof_1,accelx,accely,accelz,gyrox,gyroy,gyroz,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6711937389769496,0.0,2.579153060913086,-1.3194751739501953,-0.0,2.110057830810547,-2.4783741436400355,0.0,0.23669573664665222,-1.2170079390155237,0.0,-0.0369582399725914,-0.017658058797017873,-0.0,-0.005049773491919041,1.421163558959961,-6.649297574767843e-05,0.0021628784015774727
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6711694202818812,0.0,2.6471481323242188,-1.3194950819015503,-0.0,2.15427827835083,-2.478354116479391,0.0,0.2654397785663605,-1.216975514088766,0.0,-0.03673134371638298,-0.017706219349996388,-0.0,-0.021952297538518906,1.4212040901184082,-6.367058085743338e-05,-0.03349350392818451
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6711164913573207,0.0,2.591010332107544,-1.3194751739501953,-0.0,2.1556971073150635,-2.478405614892477,0.0,0.2608506679534912,-1.2169912497149866,0.0,-0.0424557588994503,-0.017690006886617482,-0.0,-0.0016523514641448855,1.4211397171020508,-6.026015762472525e-05,-0.04269309714436531
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.671197076837057,0.0,2.6004090309143066,-1.3194351196289062,-0.0,2.195422410964966,-2.47839417080068,0.0,0.2551939785480499,-1.2169998327838343,0.0,-0.039201270788908005,-0.01768190065492803,-0.0,-0.021019889041781425,1.4211798906326294,-5.7932829804485664e-05,-0.02556629292666912
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6712414226927699,0.0,2.6014022827148438,-1.3194630146026611,-0.0,2.178525447845459,-2.478405614892477,0.0,0.2597326934337616,-1.2169836203204554,0.0,-0.030132701620459557,-0.017690006886617482,-0.0,-0.01277252659201622,1.4211196899414062,-5.5095697462093085e-05,0.01800357922911644
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6711608372130335,0.0,2.627863645553589,-1.3194423913955688,-0.0,2.1726717948913574,-2.478326459924215,0.0,0.26062580943107605,-1.2170122305499476,0.0,-0.05040590465068817,-0.017718140278951466,-0.0,-0.018739212304353714,1.4211397171020508,-5.252347546047531e-05,-0.037021782249212265
242.0,253.0,5.6608,3.2118,6.4092,-0.0429,0.0362,-0.1251,-1.6711937389769496,0.0,2.6051788330078125,-1.3195031881332397,-0.0,2.161993980407715,-2.4783698521056117,0.0,0.26048627495765686,-1.2169793287860315,0.0,-0.0290070790797472,-0.017706219349996388,-0.0,-0.0007918458431959152,1.4211273193359375,-6.743189442204311e-05,-0.01197588350623846
228.0,240.0,5.5519,3.2339,6.4283,-0.0414,0.0266,-0.1161,-1.6711937389769496,0.0,2.5975494384765625,-1.3194825649261475,-0.0,2.1519615650177,-2.478366037408346,0.0,0.2635630965232849,-1.2170479933368128,0.0,-0.029277607798576355,-0.017670456563131154,-0.0,-0.013065062463283539,1.4210991859436035,-6.382542051142082e-05,0.018997972831130028
228.0,240.0,5.5519,3.2339,6.4283,-0.0414,0.0266,-0.1161,-1.6711932621397914,0.0,2.584136486053467,-1.3194825649261475,-0.0,2.168973922729492,-2.478382249871725,0.0,0.25475919246673584,-1.216971222554342,0.0,-0.04680129140615463,-0.017706219349996388,-0.0,-8.393079042434692e-06,1.4211479425430298,-6.0398841014830396e-05,-0.08054488897323608
228.0,240.0,5.5519,3.2339,6.4283,-0.0414,0.0266,-0.1161,-1.671152730981344,0.0,2.6015210151672363,-1.3194310665130615,-0.0,2.13954496383667,-2.478389879266256,0.0,0.24891939759254456,-1.2169998327838343,0.0,-0.0322626493871212,-0.017690006886617482,-0.0,-0.007478326093405485,1.4211598634719849,-5.80609921598807e-05,-0.0033817626535892487
