tof_0,tof_1,accelx,accely,accelz,gyrox,gyroy,gyroz,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort
287.0,257.0,-0.2913,-3.6503,8.9198,-0.0289,0.0205,-0.1046,-1.873751779595846,0.0,3.2616162300109863,-1.698472499847412,-0.0,1.9979692697525024,5.193515288620748,0.0,0.2689661979675293,-1.1890009085284632,0.0,-0.05074852705001831,0.4085812568664551,0.0,0.0029426643159240484,1.1832075119018555,0.0,0.027407465502619743
287.0,257.0,-0.2913,-3.6503,8.9198,-0.0289,0.0205,-0.1046,-1.873767992059225,0.0,3.287026882171631,-1.6984570026397705,-0.0,2.015559673309326,5.193523156433859,0.0,0.2552364766597748,-1.1890047232257288,0.0,-0.057181503623723984,0.4085012376308441,0.0,-0.0010035787709057331,1.1832438707351685,0.0,-0.02293505147099495
287.0,257.0,-0.2913,-3.6503,8.9198,-0.0289,0.0205,-0.1046,-1.873852869073385,0.0,3.2226829528808594,-1.6984691619873047,-0.0,1.9932090044021606,5.1935311434562585,0.0,0.2669551372528076,-1.1890290419207972,0.0,-0.03904789686203003,0.4085853397846222,0.0,0.008653467521071434,1.1832475662231445,0.0,-0.013579419814050198
287.0,257.0,-0.2913,-3.6503,8.9198,-0.0289,0.0205,-0.1046,-1.8738123379149378,0.0,3.326484203338623,-1.6984848976135254,-0.0,1.9991010427474976,5.193515318423071,0.0,0.2550917863845825,-1.1889804045306605,0.0,-0.047902144491672516,0.4085412323474884,0.0,0.009385038167238235,1.1832475662231445,0.0,-0.03241310641169548
287.0,257.0,-0.2913,-3.6503,8.9198,-0.0289,0.0205,-0.1046,-1.8737927875914515,0.0,3.32733154296875,-1.6984570026397705,-0.0,1.988339900970459,5.193503367691793,0.0,0.25526174902915955,-1.1890128294574183,0.0,-0.05810821056365967,0.4085812270641327,0.0,0.01866621896624565,1.1832315921783447,0.0,-0.007807031273841858
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8738166294493617,0.0,3.233926296234131,-1.6984847784042358,-0.0,2.002403974533081,5.1935311434562585,0.0,0.25956374406814575,-1.1890047232257288,0.0,-0.041147977113723755,0.40856119990348816,0.0,-0.0010996467899531126,1.1831915378570557,0.0,-0.009026947431266308
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8738085232176722,0.0,3.291262149810791,-1.6984610557556152,-0.0,2.0289664268493652,5.193535107165136,0.0,0.27155598998069763,-1.1890009085284632,0.0,-0.041842132806777954,0.4085533022880554,0.0,0.007698345463722944,1.1832435131072998,0.0,0.001037389156408608
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8738004169859828,0.0,3.2730839252471924,-1.6984487771987915,-0.0,1.991616129875183,5.193563210755148,0.0,0.26238828897476196,-1.189045254384176,0.0,-0.052878353744745255,0.4085812568664551,0.0,0.005071112886071205,1.1832034587860107,0.0,-0.039824824780225754
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8737842045226039,0.0,3.290576457977295,-1.6984487771987915,-0.0,1.9672377109527588,5.193571167975225,0.0,0.2676195204257965,-1.189045254384176,0.0,-0.041445985436439514,0.40859338641166687,0.0,0.006121846381574869,1.1831591129302979,0.0,0.02046290785074234
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8737474880614222,0.0,3.2850918769836426,-1.698448657989502,-0.0,1.981519103050232,5.193511354714193,0.0,0.27251607179641724,-1.1890490690814417,0.0,-0.0538487508893013,0.40852901339530945,0.0,0.010872938670217991,1.1832234859466553,0.0,-0.03967004641890526
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8738047085204066,0.0,3.2831268310546875,-1.6985054016113281,-0.0,2.027451276779175,5.193567144661703,0.0,0.2705745995044708,-1.1890371481524866,0.0,-0.05633333697915077,0.4085571765899658,0.0,0.00560929998755455,1.1832475662231445,0.0,-0.00844540260732174
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8737684688963832,0.0,3.265645980834961,-1.6984405517578125,-0.0,2.0266897678375244,5.193499403982916,0.0,0.2521342635154724,-1.1890209356891077,0.0,-0.05457215756177902,0.40852096676826477,0.0,-7.651257328689098e-05,1.1832194328308105,0.0,0.011712982319295406
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.873812814752096,0.0,3.24285626411438,-1.6984848976135254,-0.0,2.0157980918884277,5.193547028094091,0.0,0.25438863039016724,-1.1890252272235315,0.0,-0.05389872193336487,0.40854933857917786,0.0,0.013607805594801903,1.1832034587860107,0.0,0.061443693935871124
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8738204441466273,0.0,3.2907814979553223,-1.6984165906906128,-0.0,2.001621961593628,5.193519252329626,0.0,0.26412492990493774,-1.189017120991842,0.0,-0.033905088901519775,0.4085811972618103,0.0,0.0019686592277139425,1.1831992864608765,0.0,0.042148176580667496
277.0,268.0,-0.2692,-3.5934,8.8181,-0.0295,0.0287,-0.1148,-1.8737474880614222,0.0,3.2739462852478027,-1.6984806060791016,-0.0,1.9652869701385498,5.1935311434562585,0.0,0.26747608184814453,-1.1890090147601526,0.0,-0.057965587824583054,0.40853720903396606,0.0,0.0024042369332164526,1.1832194328308105,0.0,-0.05039969086647034
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8738247356810511,0.0,3.2787060737609863,-1.6984487771987915,-0.0,1.991245985031128,5.193547057896414,0.0,0.2607095241546631,-1.1890133062945765,0.0,-0.047905825078487396,0.4085771441459656,0.0,0.007463952526450157,1.183235764503479,0.0,-0.005055855959653854
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8738171062865199,0.0,3.2873330116271973,-1.6984291076660156,-0.0,1.9844694137573242,5.193511354714193,0.0,0.27558058500289917,-1.1890047232257288,0.0,-0.05616726726293564,0.40856119990348816,0.0,0.007116813212633133,1.1832194328308105,0.0,-0.025324787944555283
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737884960570277,0.0,3.298835277557373,-1.6984405517578125,-0.0,1.977648377418518,5.1934673366840265,0.0,0.2746317684650421,-1.1890528837787073,0.0,-0.045613843947649,0.40856918692588806,0.0,0.0011244602501392365,1.1832557916641235,0.0,-0.02874813973903656
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737760982909144,0.0,3.2902262210845947,-1.6984610557556152,-0.0,2.0044384002685547,5.19357510188178,0.0,0.26687920093536377,-1.1889966169940394,0.0,-0.05503350496292114,0.4085252285003662,0.0,0.0069626737385988235,1.1832034587860107,0.0,-0.031372059136629105
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737760982909144,0.0,3.2694499492645264,-1.6984570026397705,-0.0,2.0170745849609375,5.193515288620748,0.0,0.26450738310813904,-1.1890133062945765,0.0,-0.05130869895219803,0.4085250198841095,0.0,0.0009690100559964776,1.1832152605056763,0.0,0.00010162033140659332
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8738285503783167,0.0,3.2526931762695312,-1.6983882188796997,-0.0,2.031278610229492,5.193546998291769,0.0,0.26507580280303955,-1.1889928022967737,0.0,-0.0629713237285614,0.40856117010116577,0.0,0.0009214419405907393,1.183235764503479,0.0,0.0009211162105202675
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737803898253382,0.0,3.2861218452453613,-1.6984971761703491,-0.0,2.0035574436187744,5.193575131684103,0.0,0.24418070912361145,-1.188984219227926,0.0,-0.04881913214921951,0.4085571765899658,0.0,0.007618295028805733,1.183215618133545,0.0,-0.0032023966778069735
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737927875914515,0.0,3.302858352661133,-1.6984527111053467,-0.0,1.9916741847991943,5.193531173258581,0.0,0.2698982357978821,-1.1890209356891077,0.0,-0.049390848726034164,0.40854910016059875,0.0,0.0027169145178049803,1.1832398176193237,0.0,-0.02095871791243553
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8737927875914515,0.0,3.3107361793518066,-1.6984649896621704,-0.0,2.0221548080444336,5.193531203060903,0.0,0.2604312002658844,-1.188984219227926,0.0,-0.03719177842140198,0.4085933566093445,0.0,0.010386045090854168,1.183187484741211,0.0,-0.013660330325365067
293.0,261.0,-0.2524,-3.6215,8.8193,-0.0308,0.029,-0.1167,-1.8738004169859828,0.0,3.266599178314209,-1.6984889507293701,-0.0,1.9929108619689941,5.193495440274038,0.0,0.2811232805252075,-1.1890047232257288,0.0,-0.05068045109510422,0.4085853397846222,0.0,-0.001947377691976726,1.1832034587860107,0.0,-0.011407984420657158
292.0,263.0,-0.3147,-3.6251,8.7894,-0.042,0.0148,-0.1103,-1.8737923107542933,0.0,3.2710936069488525,-1.69846510887146,-0.0,2.007075548171997,5.193567144661703,0.0,0.258545845746994,-1.1890528837787073,0.0,-0.05359283834695816,0.40857309103012085,0.0,0.005583988502621651,1.1831910610198975,0.0,-0.008581472560763359
292.0,263.0,-0.3147,-3.6251,8.7894,-0.042,0.0148,-0.1103,-1.8738171062865199,0.0,3.2796711921691895,-1.6984610557556152,-0.0,1.9974474906921387,5.193515288620748,0.0,0.26294925808906555,-1.1890209356891077,0.0,-0.044315896928310394,0.4085412323474884,0.0,0.006371353752911091,1.1832438707351685,0.0,0.012282106094062328
