tof_0,tof_1,accelx,accely,accelz,gyrox,gyroy,gyroz,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.3350988827147425,0.0,4.98713493347168,-1.1695210933685303,-0.0,1.9803276062011719,5.356796014099874,0.0,0.2285323143005371,-1.759050194417135,-0.0,0.01497434452176094,0.34868526458740234,0.0,0.013465750962495804,1.1767858266830444,0.0,0.004113997332751751
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.335079332391256,0.0,5.0029144287109375,-1.1695448160171509,-0.0,2.0052132606506348,5.356835889607229,0.0,0.22480329871177673,-1.7590625921832483,-0.0,0.0008064290741458535,0.3486495018005371,0.0,0.004221638198941946,1.1767739057540894,0.0,0.00818710494786501
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.3351193867125453,0.0,5.023786544799805,-1.169488549232483,-0.0,2.0186378955841064,5.356799769192495,0.0,0.22585240006446838,-1.759066406880514,-0.0,0.011396368965506554,0.34871381521224976,0.0,0.01421136874705553,1.1767417192459106,0.0,-0.010403996333479881
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.3350945911803187,0.0,4.984735488891602,-1.1694923639297485,-0.0,2.0676627159118652,5.356819855957784,0.0,0.21978998184204102,-1.75903827348818,-0.0,0.0071005988866090775,0.34860557317733765,0.0,0.010080968961119652,1.1767536401748657,0.0,-0.03163602948188782
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.3350750408568324,0.0,4.987078666687012,-1.1694722175598145,-0.0,1.9909617900848389,5.3568317768867395,0.0,0.22394707798957825,-1.759026352559225,-0.0,0.015026332810521126,0.34862565994262695,0.0,0.004203493241220713,1.1767696142196655,0.0,-0.05436902865767479
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.335106988946432,0.0,5.046767711639404,-1.1694767475128174,-0.0,2.0295703411102295,5.356863844185629,0.0,0.2200063318014145,-1.7590864340411585,-0.0,0.009249216876924038,0.34862565994262695,0.0,0.0035049489233642817,1.1767898797988892,0.0,-0.0028589353896677494
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.3351193867125453,0.0,5.0095343589782715,-1.1695210933685303,-0.0,2.0456299781799316,5.356819855957784,0.0,0.21421359479427338,-1.7590301672564905,-0.0,0.00405539944767952,0.3486934006214142,0.0,0.0011005611158907413,1.1767897605895996,0.0,0.05030158907175064
157.0,178.0,-4.4285,0.7304,8.7003,-0.0353,0.035,-0.1257,-2.335090776483053,0.0,4.998751163482666,-1.1694964170455933,-0.0,2.0405538082122803,5.356823968678274,0.0,0.22207888960838318,-1.759050194417135,-0.0,0.011256471276283264,0.34869372844696045,0.0,0.002550791949033737,1.1767736673355103,0.0,-0.013519762083888054
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3350864849486292,0.0,5.0074992179870605,-1.1695449352264404,-0.0,2.0218167304992676,5.3567678211028955,0.0,0.23173314332962036,-1.7590826193438929,-0.0,0.009401529096066952,0.348613440990448,0.0,-0.0007013815920799971,1.1767818927764893,0.0,0.013412706553936005
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3351594410338343,0.0,5.007098197937012,-1.1695088148117065,-0.0,1.9996249675750732,5.3568317768867395,0.0,0.22570404410362244,-1.7590177694903772,-0.0,0.00768144940957427,0.34860527515411377,0.0,0.00037698401138186455,1.176737666130066,0.0,0.011047346517443657
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3351031742491664,0.0,4.9986162185668945,-1.1695129871368408,-0.0,2.01299786567688,5.35677187421874,0.0,0.23217415809631348,-1.7590745131122034,-0.0,0.007038456853479147,0.3485850393772125,0.0,-0.006271658465266228,1.176769733428955,0.0,-0.01757226139307022
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335083147088522,0.0,4.967772483825684,-1.1695365905761719,-0.0,2.050138473510742,5.356819855957784,0.0,0.23046110570430756,-1.7590583006488245,-0.0,0.00408709142357111,0.3486573398113251,0.0,0.0040172734297811985,1.1767778396606445,0.0,-0.014949331060051918
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3351475201048792,0.0,4.994008541107178,-1.1695128679275513,-0.0,2.0336742401123047,5.356807935028829,0.0,0.22470390796661377,-1.759022061024801,-0.0,0.006585730239748955,0.34868961572647095,0.0,-0.001936953398399055,1.1767098903656006,0.0,0.011166349053382874
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335139890710348,0.0,4.96560525894165,-1.169472575187683,-0.0,2.0278542041778564,5.356816220074453,0.0,0.23217760026454926,-1.7590301672564905,-0.0,0.0059462618082761765,0.3486334979534149,0.0,-0.0015185533557087183,1.1767778396606445,0.0,-0.0016618217341601849
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335118909875387,0.0,5.026010513305664,-1.1694804430007935,-0.0,2.006188154220581,5.356799769192495,0.0,0.23505672812461853,-1.7590344587909144,-0.0,0.007594907656311989,0.3486535847187042,0.0,-0.002923935418948531,1.1767818927764893,0.0,0.048367906361818314
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3351193867125453,0.0,5.01624870300293,-1.1695088148117065,-0.0,2.012108087539673,5.35681580284194,0.0,0.2277328372001648,-1.75903827348818,-0.0,-0.0012272304156795144,0.34871381521224976,0.0,0.008940878324210644,1.1767656803131104,0.0,-0.0010830615647137165
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335135599175924,0.0,5.022101402282715,-1.169488549232483,-0.0,2.0435805320739746,5.356783795147695,0.0,0.22552543878555298,-1.7590420881854456,-0.0,0.010842814110219479,0.3487056493759155,0.0,-0.004568642005324364,1.176757574081421,0.0,-0.003158198669552803
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3350917301573695,0.0,5.0252251625061035,-1.1695170402526855,-0.0,1.9743001461029053,5.3567800400550745,0.0,0.22319799661636353,-1.759066406880514,-0.0,0.005927915684878826,0.34864541888237,0.0,-0.000614524818956852,1.1768096685409546,0.0,0.052791424095630646
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.3350864849486292,0.0,5.005692005157471,-1.1695407629013062,-0.0,2.045679807662964,5.3568439958389185,0.0,0.23071488738059998,-1.7590463797198694,-0.0,0.020488496869802475,0.34866511821746826,0.0,-0.004314621910452843,1.1767977476119995,0.0,0.00353336613625288
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335167547265524,0.0,5.031263828277588,-1.1694767475128174,-0.0,1.9876670837402344,5.35681580284194,0.0,0.2303869128227234,-1.7590177694903772,-0.0,0.026149626821279526,0.3487015664577484,0.0,0.0016726742032915354,1.1767818927764893,0.0,-0.02129318192601204
153.0,183.0,-4.4315,0.7208,8.7517,-0.0333,0.0243,-0.1199,-2.335123201409811,0.0,5.01424503326416,-1.1695531606674194,-0.0,2.009455442428589,5.356783795147695,0.0,0.23101721704006195,-1.7590420881854456,-0.0,0.024904895573854446,0.3486535847187042,0.0,0.0019473518477752805,1.1767936944961548,0.0,0.02350182831287384
