tof_0,tof_1,accelx,accely,accelz,gyrox,gyroy,gyroz,shoulder_lift_joint_position,shoulder_lift_joint_velocity,shoulder_lift_joint_effort,elbow_joint_position,elbow_joint_velocity,elbow_joint_effort,wrist_1_joint_position,wrist_1_joint_velocity,wrist_1_joint_effort,wrist_2_joint_position,wrist_2_joint_velocity,wrist_2_joint_effort,wrist_3_joint_position,wrist_3_joint_velocity,wrist_3_joint_effort,shoulder_pan_joint_position,shoulder_pan_joint_velocity,shoulder_pan_joint_effort
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.7786146603026332,0.0,2.6326680183410645,-2.077165365219116,-0.0,1.7317101955413818,5.374738681107321,-0.0,0.2682415843009949,-1.6385954062091272,0.0,0.006879133637994528,0.7882992625236511,-0.0,-0.009430969133973122,0.7900271415710449,0.0,0.044298674911260605
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.7786103687682093,0.0,2.6078341007232666,-2.0771095752716064,-0.0,1.6649413108825684,5.374750602036276,-0.0,0.2839737832546234,-1.6386478582965296,0.0,-0.0053892722353339195,0.7883196473121643,-0.0,0.0009765527211129665,0.7900916337966919,0.0,-0.010009754449129105
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.778647085229391,0.0,2.5711963176727295,-2.0771260261535645,-0.0,1.7189338207244873,5.374782252102651,-0.0,0.28222471475601196,-1.6385954062091272,0.0,0.007322846911847591,0.788271427154541,-0.0,-0.0016583839897066355,0.7901319861412048,0.0,-0.027007276192307472
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.7786227665343226,0.0,2.6208293437957764,-2.0771498680114746,-0.0,1.700209140777588,5.374734627991476,-0.0,0.28202012181282043,-1.6385915915118616,0.0,0.0016618738882243633,0.788323700428009,-0.0,-0.0008666865178383887,0.7900997996330261,0.0,0.04631361365318298
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.77868713955068,0.0,2.575758934020996,-2.077209949493408,-0.0,1.7163324356079102,5.374730515270986,-0.0,0.2858656346797943,-1.6386359373675745,0.0,-0.006925355643033981,0.7882992625236511,-0.0,0.0052954647690057755,0.7901116609573364,0.0,0.05082477256655693
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.7785903416075648,0.0,2.5646791458129883,-2.077097177505493,-0.0,1.7109401226043701,5.3747543571288965,-0.0,0.2704695463180542,-1.6385954062091272,0.0,-0.0009536876459605992,0.7883437275886536,-0.0,-0.0029037115164101124,0.7900554537773132,0.0,-0.0170693751424551
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.778618951837057,0.0,2.6176300048828125,-2.077169418334961,-0.0,1.699823260307312,5.374730515270986,-0.0,0.28892403841018677,-1.638627831135885,0.0,-0.005128961987793446,0.7883114814758301,-0.0,-0.0016108390409499407,0.7901398539543152,0.0,-0.02443666383624077
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.778635164300436,0.0,2.6107869148254395,-2.077157974243164,-0.0,1.6837172508239746,5.374750602036276,-0.0,0.2775825262069702,-1.6386521498309534,0.0,-0.015536632388830185,0.788323700428009,-0.0,0.009476598352193832,0.7900636792182922,0.0,-0.04670807346701622
1014.0,1010.0,-0.3703,0.6305,9.5605,-0.0391,0.0269,-0.1226,-1.7785827122130335,0.0,2.5939741134643555,-2.0771498680114746,-0.0,1.7225446701049805,5.37479447105483,-0.0,0.28259801864624023,-1.6386359373675745,0.0,-0.00414802972227335,0.7882471084594727,-0.0,-0.01049046404659748,0.7900311946868896,0.0,0.03842295706272125
1008.0,1036.0,-0.2441,0.6963,9.3135,-0.0421,0.02,-0.1187,-1.7785984478392542,0.0,2.6778688430786133,-2.0771219730377197,-0.0,1.6916793584823608,5.374750602036276,-0.0,0.2751932144165039,-1.6385749022113245,0.0,0.0020250752568244934,0.7883356213569641,-0.0,-0.009598580189049244,0.7901039123535156,0.0,-0.013558048754930496
1008.0,1036.0,-0.2441,0.6963,9.3135,-0.0421,0.02,-0.1187,-1.778607030908102,0.0,2.5577054023742676,-2.0772058963775635,-0.0,1.7388672828674316,5.374766993313589,-0.0,0.27081549167633057,-1.6386192480670374,0.0,-0.011994577944278717,0.7883074283599854,-0.0,0.004629958886653185,0.790083646774292,0.0,-0.017521459609270096
1008.0,1036.0,-0.2441,0.6963,9.3135,-0.0421,0.02,-0.1187,-1.7786146603026332,0.0,2.6129727363586426,-2.077125310897827,-0.0,1.7407476902008057,5.374769973545828,-0.0,0.28121551871299744,-1.6386192480670374,0.0,-0.000730870699044317,0.7883033752441406,-0.0,-0.014014977030456066,0.7901157736778259,0.0,0.017260519787669182
1008.0,1036.0,-0.2441,0.6963,9.3135,-0.0421,0.02,-0.1187,-1.7786065540709437,0.0,2.5337002277374268,-2.077125310897827,-0.0,1.6713497638702393,5.374762880593099,-0.0,0.2829192578792572,-1.6386192480670374,0.0,-0.004712920635938644,0.7882473468780518,-0.0,0.008371785283088684,0.7900472283363342,0.0,-0.02658098377287388
